id,emp1,emp2,type
69,Abbott Laboratories,Abbott Laboratories,NULL
70,Abbott Laboratories,Abbott Labs,NULL
71,Abbott Vascular,Abbott Vascular,NULL
72,ABC Harrell Studios,ABC Harrell Studios,
73,"ABC Security Services, Inc",ABC Security,
74,"ABC Security Services, Inc",ABC SECURITY SERVICE INC,
75,"ABC Security Services, Inc","ABC Security Service, Inc.",
76,"ABC Security Services, Inc","ABC Security Services, Inc",
77,ABC7,ABC 7 News (KGO-TV),
78,ABC7,ABC7,
79,Abel Guillen for Oakland City Council 2014,Abel Guillen for Oakland City Council 2014,
80,Abode Services,Abode Services,
81,Abraham Kneisley,Abraham Kneisley,
82,Abrams & Associates,Abrams & Associates,
83,Abu Dhabi Investments,Abu Dhabi Investments,NULL
84,AC Transit,AC Transit,NULL
85,Academia.edu,Academia.edu,
86,Academy of Art University,Academy of Art University,NULL
87,Accela,Accela,
88,Accela,accela,
89,Accelcia Business Services,Accelcia Business Services,
90,Accent on Languages,Accent on Languages,
91,Accenture,Accenture,
92,Accident Claim Services,Accident Claim Services,
93,Accretive Solutions,Accretive Solutions,
94,Accretive Solutions,Accrretive Solutions,
95,Accutech Auto Care,Accutech Auto Care,NULL
96,Achieve Program,Achieve Program,
97,Achievement First,Achievement First,
98,ACI Event Group,ACI Event Group,
99,Ackrell Capital,Ackrell Capital,NULL
100,ACLU OF SOUTHERN CALIFORNIA,ACLU OF SOUTHERN CALIFORNIA,
101,Acme Bread Co.,Acme Bread Co.,
102,ACS Consulting,ACS Consulting,
103,Action Alliance for Children,Action Alliance for Children,
104,Action Oriented Coaching,Action Oriented Coaching,
105,Active Voice,Active Voice,
106,Acts Full Gospel Church,Acts Full Gospel Church,NULL
107,Acts Full Gospel Church,Acts Full Gospel Church of God in Christ,
108,Acumen Solutions,Acumen Solutions,NULL
109,Adair Optometry,Adair Optometry,NULL
110,"Adam Duhan, MD","Adam Duhan, MD",NULL
111,Adam Phillips Architectural Corp,Adam Phillips Architectural Corp,
112,Adams Nye Becht LLP,"Adams Nye & Becht, LLP",
113,Adams Nye Becht LLP,Adams Nye Becht LLP,NULL
114,Adams Nye Becht LLP,"Adams, Nye, Becht",NULL
115,Adams Nye Becht LLP,Adams Nye Brecht LLP,NULL
116,Adams Nye Becht LLP,ADAMS NYE BECHT LLP,
117,Adams Nye Becht LLP,"Adams, Nye, Becht LLP",
118,"Adax, Inc.","Adax, Inc.",NULL
119,Adchemy Inc.,Adchemy Inc.,NULL
120,Adchemy Inc.,"Adchemy, Inc",NULL
121,Addison-Penzak JCC of Silicon Valley,Addison-Penzak JCC of Silicon Valley,
122,Adesso Strategy,Adesso Strategy,
123,Adlevo Capital,Adlevo Capital,
124,Admitting Clerk,Admitting Clerk,NULL
125,Adobe,Adobe,NULL
126,Adobe,ADOBE,
127,Adobe Soil & Structures Engineering,Adobe Soil & Structures Engineering,
128,ADP,ADP,
129,ADR,ADR,
130,Aduro Bio Tech,Aduro Bio Tech,NULL
131,Advance Construction & Remodel,Advance Construction & Remodel,
132,Advanced Solutions International,Advanced Solutions International,
133,"Advent Properties, Inc.","Advent Properties, Inc.",
134,Advent Software,Advent Software,
135,Advocate Lutheran General Hospital,Advocate Lutheran General Hospital,
136,AE3 Partners,AE3,
137,AE3 Partners,AE3 Partners,NULL
138,AE3 Partners,AE3 Engineering,NULL
139,AE3 Partners,AE3 Partners Inc,NULL
140,AE3 Partners Inc.,AE3 Partners Inc.,
141,AECOM,AECOM,
142,AEG Facilities,AEG Facilities,
143,AEG Facilities Oakland,AEG Facilities Oakland,
144,AEG Managment,AEG Managment,
145,Aeris Properties,Aeris Properties,
146,Aetna,Aetna,
147,"AF Evans Company, Inc.","AF Evans Company, Inc.",
148,Affordable Housing Management Association,Affordable Housing Management Association,
149,AFSCME,AFSCME,Union
150,AFSCME council 57,AFSCME - Council 57 Issues,Union
151,AFSCME council 57,AFSCME council 57,
152,After-School All-Stars Philadelphia,After-School All-Stars Philadelphia,
153,AgFirst,AgFirst,NULL
154,AGHW,AGHW,
155,AGI,AGI,
156,Agilent Technologies,Agilent Technologies,NULL
157,Aiken Welch Court Reporters,Aiken & Welch,
158,Aiken Welch Court Reporters,Aiken Welch Court Reporters,
159,AIM Broadcasting,AIM Broadcasting,NULL
160,Aim High,Aim High,NULL
161,AIrbnb,AIrbnb,
162,AIS Associates LLC,AIS Associates LLC,
163,AJCVC,AJCVC,NULL
164,AJWS,AJWS,NULL
165,Akonadi Foundation,Akonadi Foundation,NULL
166,Al Adams Advisors,Al Adams Advisors,NULL
167,Al Stephens Real Estate,Al Stephens Real Estate,NULL
168,Alain Pinel Realtors,Alain Pinel,
169,Alain Pinel Realtors,Alain Pinel Realtor,
170,Alain Pinel Realtors,Alain Pinel Realtors,NULL
171,Alamdea Health System Foundation,Alamdea Health System Foundation,
172,Alameda Bicycle,Alameda Bicycle,
173,Alameda City,Alameda City,
174,Alameda County,Alameda Co.,
175,Alameda County,Alameda County,NULL
176,Alameda County,alameda county ca,
177,Alameda County Family Justice Center,Alameda County Family Justice Center,
178,Alameda County Medical Center,Alameda County Medial Center,NULL
179,Alameda County Medical Center,Alameda County Medical Center,NULL
180,Alameda County Office of Education,Alameda County Office of Education,
181,Alameda County Office of the Public Defender,Alameda Co Public Defender,NULL
182,Alameda County Office of the Public Defender,Alameda County Office of the Public Defender,NULL
183,Alameda County Public Health Department,Alameda County Public Health Department,
184,Alameda County Social Services Agency,Alameda County Social Service Agency,
185,Alameda County Social Services Agency,Alameda County Social Services Agency,
186,Alameda County SRDC,Alameda County SRDC,
187,Alameda County Superior Court,Alameda County Superior Court,NULL
188,Alameda County Superior Court,Alameda Superior Court,
189,"Alameda County Supervisor, Nate Miley","Alameda County Supervisor, Nate Miley",
190,Alameda Fire Fighters Association,Alameda Fire Fighters Association,Union
191,Alameda Fire Fighters Association,"Alameda FireFighters Assn., Local 689",Union
192,Alameda Health Systems,Alameda Health System,
193,Alameda Health Systems,Alameda Health Systems,NULL
194,Alameda Health Systems,ALAMEDA HEALTHCARE SYSTEM,
195,Alameda Labor Council,Alameda Labor Council,Union
196,Alameda Labor Council,Alameda Labor Council Unity PAC,Union
197,Alameda Publilshing Corp,Alameda Publilshing Corp,
198,Alameda Sushi House,Alameda Sushi House,
199,Alameda-Contra Costa Medical Assn,Alameda-Contra Costa Medical Assn,NULL
200,Alamo Lighting,Alamo Lighting,NULL
201,Alan Blueford Center for Justice,Alan Blueford Center for Justice,
202,Alan Harper Photography,Alan Harper Photography,
203,Alan Pinel Realtors,Alan Pinel Realtors,
204,Alana Ross Events,Alana Ross Events,NULL
205,Alarcon Bohm,Alarcon Bohm,
206,ALBAR Joint-Venture,ALBAR Joint-Venture,
207,AlDiLA Investments,AlDiLA Investments,
208,Alejandro D. Villa,Alejandro D. Villa,
209,Alex Lau Accupunture,Alex Lau Accupunture,NULL
210,Alex Paul,Alex Paul,
211,Alex Sten Poulsen,Alex Sten Poulsen,
212,Alexis Party World,Alexis Party World,NULL
213,Alexxalan Consulting,Alexxalan Consulting,
214,All East Bay Properties,All East Bay Properties,
215,ALL-IN STRATEGIES,ALL-IN STRATEGIES,
216,Allen Matkins,Allen Matkins,NULL
217,Allen Temple Baptist Church,Allen Temple Baptist Church,
218,Allendale Veterinary Clinic,Allendale Veterinary Clinic,
219,Alliance for Nuclear Accountability,Alliance for Nuclear Accountability,
220,Allstate Insurance,Allstate Insurance,NULL
221,Almac Group,Almac Group,
222,Alpha Design & Construction,Alpha Design & Construction,
223,"Alpha Restoration & Waterproofing, Inc.","Alpha Restoration & Waterproofing, Inc.",
224,Alta Bates Summit Medical Center,Alta Bates,NULL
225,Alta Bates Summit Medical Center,Alta Bates Hospital,NULL
226,Alta Bates Summit Medical Center,Alta Bates Med Center,NULL
227,Alta Bates Summit Medical Center,Alta Bates Summit Medical Center,NULL
228,Alta Bates Summit Medical Center,Alta Bates Summit Med Center,NULL
229,Alta Partners,Alta Partners,NULL
230,Alternative Family Services,Alternative Family Services,
231,Alternative Technologies,Alternative Technologies,NULL
232,AltiScale,AltiScale,
233,Altman & Cronin,Altman & Cronin,NULL
234,Amalgamated Transit Union Local 1555 PAC Small Contributor Committee,Amalgamated Transit Union Local 1555 PAC Small Contributor Committee,Union
235,Amandeep Brar General Dentistry,Amandeep Brar General Dentistry,NULL
236,Ambit Resource Group,Ambit Resource Group,
237,AMD,AMD,NULL
238,American Airlines,American Airlines,NULL
239,American Bankers Association,American Bankers Association,NULL
240,AMERICAN BAPTIST SEMINARY OF THE WEST,AMERICAN BAPTIST SEMINARY OF THE WEST,
241,American Bone Health,American Bone Health,
242,American Brass and Iron Foundry,American Brass and Iron Foundry,
243,American Cancer Society,American Cancer Society,
244,American City Pest & Termite,American City Pest & Termite,NULL
245,American Development Co.,American Development Co.,
246,"American Federation of State, County & Municipal Employees Council 57","American Federation of State, County & Municipal Employees Council 57",Union
247,"American Federation of State, County & Municipal Employees Council 57","American Federation of State, County and Municpal Employees Council 57 PAC",Union
248,"American Federation of State, County & Municipal Employees Council 57","American Federation of State, County & Municipal Employees Council 57 PAC",Union
249,"American Federation of State, County & Municipal Employees Council 57","American Federation of State, County, and Municipal Employees Council 57 PAC",Union
250,American Federation of Teachers,American Federation of Teachers,Union
251,American Federation of Teachers,American Federation Of Teachers,Union
252,American Foy Larue Inc.,American Foy Larue Inc.,NULL
253,American Hospice & Home Health,American Hospice & Home Health,
254,American Maritime Group LLC,American Maritime Group LLC,NULL
255,"American Poly Sales Company, Inc.","American Poly Sales Company, Inc.",
256,American Promotional Events West,American Promotional Events West,
257,American Red Cross,American Red Cross,
258,"American Steel Studios, LLC",American Steel Studios,
259,"American Steel Studios, LLC","American Steel Studios, LLC",
260,American Tai Wah Trading,American Tai Wah,
261,American Tai Wah Trading,American Tai Wah Trading,NULL
262,AMG & ASSOCIATE LLC,AMG & ASSOCIATE LLC,
263,AMG Construction,AMG Construction,NULL
264,Amity Home Health Care Inc.,Amity Home Health Care Inc.,
265,AMS,AMS,
266,Amtecol,Amtecol,NULL
267,Amtrak,Amtrak,NULL
268,Amy J. Trask,Amy J. Trask,NULL
269,Amy Slater,Amy Slater,
270,Amy Wendling Attorney at Law,Amy Wendling Attorney at Law,NULL
271,Amyris Inc,Amyris Inc,
272,Andes Construction,Andes Construction,
273,Andrea Keaton,Andrea Keaton,
274,Andrew Deal Attorney at Law,Andrew Deal Attorney at Law,NULL
275,Andrew Lawrence,Andrew Lawrence,
276,Andrew Sun,Andrew Sun,NULL
277,Andrew Vincent Electrical Contractor,Andrew Vincent Electrical Contractor,NULL
278,Andrus Anderson LLP,Andrus Anderson LLP,
279,AnewAmerica Community Corporation,AnewAmerica Community Corporation,
280,Anil Veema Associates,Anil Veema Associates,NULL
281,Anita Borg Institute,Anita Borg Institute,NULL
282,Ann Yamada,Ann Yamada,NULL
283,Anne Bruff Associates,Anne Bruff Associates,NULL
284,Anne Eagan,Anne Eagan,
285,Annie Campbell Washington for Oakland City Council 2014,Annie Campbell Washington for Oakland City Council 2014,
286,Annuity Systems,Annuity Systems,NULL
287,Another Planet Entertainment,Another Planet Entertainment,NULL
288,Antimite,Antimite,NULL
289,Antioch Street Limited,Antioch Street Limited,NULL
290,"Antioch Street Limited, A Limited Partnership",Antioch Street Limited a Limited Partnership (FBO 5277 College) - Elwood Commercial Real Estate,
291,"Antioch Street Limited, A Limited Partnership","Antioch Street Limited, A Limited Partnership",
292,Ao Sen Restaurant,Ao Sen Restaurant,
293,Aon Hewitt,Aon Hewitt,
294,AP Management,AP Management,
295,"Apartment Maintenance, Inc.","Apartment Maintenance, Inc.",NULL
296,API LEGAL OUTREACH,API LEGAL OUTREACH,
297,APL,APL,
298,Aplia,Aplia,NULL
299,Appaloosa Management,Appaloosa Management,
300,Apple Inc,Apple Inc,NULL
301,Apple Inc,Apple Inc.,NULL
302,Apple Inc,Apple Computer,NULL
303,Apple Inc,Apple,NULL
304,Applied Financial Technology,Applied Financial Technology,NULL
305,Aquatech,Aquatech,
306,"ARA Cal, Inc.",ARA CAL,
307,"ARA Cal, Inc.","ARA Cal, Inc.",
308,Aram Electric Inc.,Aram Electric Inc.,
309,ARAM Electric Inc.,ARAM Electric Inc.,
310,Arapahoe County,Arapahoe County,NULL
311,ARC Company,ARC Company,
312,ARCALA Land Company,ARCALA Land Company,NULL
313,Arch Insurance,Arch Insurance,NULL
314,Arch Insurance,Arch Mortgage Insurance,
315,Arch Insurance,Arch Insurance group,
316,Archambeau Associates,Archambeau Associates,
317,Architect,Architect,NULL
318,Arda LLC,ARDA LLC,NULL
319,Arda LLC,Arda LLC,
320,Argos Consulting,Argos Consulting,NULL
321,Argosy University,Argosy University,
322,Arias,Arias,
323,"Ariat International, Inc.","Ariat International, Inc.",
324,Arizmendi Cooperative Inc.,Arizmendi Cooperative Inc.,
325,Armstrong & Hastings,Armstrong & Hastings,
326,Armstrong Development Inc,Armstrong Development Inc,
327,Arndt Peltner Foreign Correspondence,Arndt Peltner Foreign Correspondence,
328,Aroma Catering,Aroma Catering,NULL
329,Arque Capital,Arque Capital,NULL
330,Arrow Sign Company,Arrow Sign Company,
331,Art Center School of Design,Art Center School of Design,NULL
332,Art Twain,Art Twain,NULL
333,Arthaus,Arthaus,
334,ARTHUR ROCK & CO.,ARTHUR ROCK & CO.,
335,Artthaus,Artthaus,
336,Aruba Networks,Aruba Networks,NULL
337,As You Sow,As You Sow,NULL
338,Ascension,Ascension,NULL
339,Ascension,Ascension Retirement,NULL
340,Ascension Greek Orthodox Cathedral,Ascension Greek Orthodox Cathedral,
341,Ashford University,Ashford University,
342,Asian Americans for Political Advancement PAC,Asian Americans for Political Advancement PAC,PAC
343,Asian Art Museum,Asian Art Museum,
344,Asian Health Services,Asian Health Services,NULL
345,Asian Immigrant Women,Asian Immigrant Women,NULL
346,Asian Pacific American Labor Council Alameda County,Asian Pacific American Labor Council Alameda County,Union
347,Asian Pacific Environmental Network,Asian Pacific Environmental Network,
348,ASIAN PACIFIC ISLANDER LEGAL OUTREACH,ASIAN PACIFIC ISLANDER LEGAL OUTREACH,
349,Ask.com,Ask.com,NULL
350,"ASN Natural Stone, Inc","ASN Natural Stone, Inc",
351,ASPIRE PUBLIC SCHOOLS,ASPIRE PUBLIC SCHOOLS,
352,Aspiriant,Aspiriant,NULL
353,Associated Neurology,Associated Neurology,
354,Association of Bay Area Governments,Association of Bay Area Governments,NULL
355,ASURA Risk Management,ASURA Risk Management,
356,Asurion,Asurion,
357,AT&T,AT&T,NULL
358,AT&T,ATT,
359,AT&T California Employee Political Action Committee,AT&T California Employee Political Action Committee,
360,AT&T Mobility,AT&T Mobility,NULL
361,ATKIN FOR SUPERVISOR 2016,ATKIN FOR SUPERVISOR 2016,
362,Atkinson Andelson,Atkinson Andelson,NULL
363,atlanta falcons,atlanta falcons,
364,"Atlas Commodities, LLC","Atlas Commodities, LLC",NULL
365,ATM Systems,ATM Systems,
366,"Attorney's Briefcase, Inc.","Attorney's Briefcase, Inc.",
367,Auction.Com,Auction.Com,
368,Audio Visions,Audio Visions,NULL
369,Augusta Columbia Capital,Augusta Columbia Capital,NULL
370,Aunt Ann's In-House Staffing,Aunt Ann's In-House Staffing,
371,Auriga Corp,Auriga Corp,
372,"Aurora Partners, LLC","Aurora Partners, LLC",
373,Autism Answers,Autism Answers,NULL
374,"Autodesk, Inc.",Autodesk,
375,"Autodesk, Inc.","Autodesk, Inc.",
376,Avanade,Avanade,
377,AVM Mortgage Company,AVM Mortgage Company,NULL
378,Awakening Presence,Awakening Presence,
379,Axis Development Group,Axis Development Group,
380,Axis Pro/ Axis Capital,Axis Pro/ Axis Capital,
381,AYUDA Financial Services,AYUDA Financial Services,NULL
382,Aztec Tennis Club,Aztec Tennis Club,NULL
383,B & B Vehicle Processing  Inc.,B & B Vehicle Processing  Inc.,NULL
384,B & B Vehicle Processing  Inc.,B&B Vehicle Processing,NULL
385,B & B Vehicle Processing  Inc.,"B&B Vehicle Processing, Inc.",NULL
386,B & B Vehicle Processing  Inc.,"B & B Vehicle Processing, Inc.",
387,B & B Vehicle Processing  Inc.,B&B Auto Processing,
388,B.P. & Associates,B.P. & Associates,
389,B&T Bookkeeping,B&T Bookkeeping,NULL
390,"B2B Trade USC Company, Inc.",B2B,NULL
391,"B2B Trade USC Company, Inc.","B2B Trade USC Company, Inc.",
392,Babeland,Babeland,
393,Bacardi,Bacardi,
394,Backbeat Networks,Backbeat Networks,NULL
395,"Baines Group, Inc.",Baines Group,
396,"Baines Group, Inc.","Baines Group, Inc.",
397,Baird Capital,Baird Capital,NULL
398,Bal Drapery and Interiors,Bal Drapery and Interiors,NULL
399,"Balagi Enterprise, LLC","Balagi Enterprise, LLC",
400,Balahi Hotels,Balahi Hotels,NULL
401,"Balaji Alameda, LLC","Balaji Alameda, LLC",
402,Balaji Enterprises LLC,Balaji Enterprises,
403,Balaji Enterprises LLC,Balaji Enterprises LLC,
404,"Balco Properties LTD., LLC",Balco Properties,
405,"Balco Properties LTD., LLC","Balco Properties LTD., LLC",
406,Balle,Balle,
407,"Ballena Technologies, Inc.",Ballena Technologies,
408,"Ballena Technologies, Inc.","Ballena Technologies, Inc.",
409,Ballyhallinaan Properties,Ballyhallinaan Properties,
410,Baner Financial Interests,Baner Financial Interests,NULL
411,Banfield Pet Hospital,Banfield Pet Hospital,
412,Bank of Agriculture And Commerce,Bank of Agriculture And Commerce,
413,Bank of Alameda,Bank of Alameda,NULL
414,Bank of America,Bank of America,NULL
415,Bank of Marin,Bank of Marin,
416,Bank of San Francisco,Bank of San Francisco,
417,Bank of the West,Bank of the West,NULL
418,Banks Group,Banks Group,NULL
419,Bankston Immigration,Bankston Immigration,
420,Banneker Partners,Banneker Partners,NULL
421,Bao Hua Lu,Bao Hua Lu,NULL
422,Baptist Memorial Hospital for Women,Baptist Memorial Hospital for Women,NULL
423,"Baradat & Paboojian, Inc.","Baradat & Paboojian, Inc.",
424,Barbagelata Real Estate,Barbagelata Real Estate,NULL
425,Barbara Armstrong,Barbara Armstrong,
426,Barbara Feyerabend,Barbara Feyerabend,
427,Barbara Ginsberg,Barbara Ginsberg,NULL
428,Barbara Perry,Barbara Perry,
429,Bardo Cocktails,Bardo Cocktails,
430,Barlev Associates,Barlev Associates,
431,Barnaby/Good Vibrations,Barnaby/Good Vibrations,
432,Barnes Clarke Inc.,Barnes Clarke Inc.,NULL
433,"Barnes, Mosher, Whitehurst, Lauter & Partners","Barnes, Mosher, Whitehurst, Lauter & Partners",
434,Barney and Barney,Barney and Barney,
435,Barron & Toups Architects,Barron & Toups Architects,
436,Barry Miller Consulting,Barry Miller Consulting,NULL
437,BART,BART,NULL
438,BART,Bay Area Rapid Transit,NULL
439,BART,BART (Bay Area Rapid Transit),
440,BART,San Francisco Bay Area Rapid Transit District,
441,"Bartlet, Leader-Picone & Young, LLP","Bartlet, Leader-Picone & Young, LLP",
442,Barton Gerstel Carpenter,Barton Gerstel Carpenter,
443,Base Ventures,Base Ventures,NULL
444,Basho Technologies,Basho Technologies,
445,BASIC FUND,BASIC FUND,
446,Battleground Texas,Battleground Texas,
447,Baughman Company,Baughman Company,NULL
448,Bay Air Systems,Bay Air Systems,
449,Bay Alarm,Bay Alarm,NULL
450,Bay Area Air Quality Management District,Bay Area Air Quality Management District,NULL
451,Bay Area Beverage,Bay Area Beverage,
452,bay area bluestone,bay area bluestone,
453,Bay Area Business Roundtable,Bay Area Business Roundtable,
454,BAY AREA CHAPTER OF FAMILY REUNIONS,BAY AREA CHAPTER OF FAMILY REUNIONS,NULL
455,Bay Area Citizens PAC,Bay Area Citizens PAC,PAC
456,Bay Area Citizens PAC,Bay Area Citizens PAC  id#1346828,PAC
457,Bay Area Citizens PAC,Bay Area Citizens PAC; FPPC #1346828,PAC
458,Bay Area Concrete,Bay Area Concrete,NULL
459,Bay Area Concrete Recycling,Bay Area Concrete Recycling,
460,Bay Area Ear Nose And Throat Medical Group,Bay Area Ear Nose And Throat Medical Group,
461,Bay Area Legal Aid,Bay Area Legal Aid,
462,Bay Area Othropaedic & Sports Specialists (BOSS),Bay Area Othropaedic & Sports Specialists (BOSS),NULL
463,"Bay Area Plumbing & Construction, Inc.","Bay Area Plumbing & Construction, Inc.",
464,Bay Area Realty,Bay Area Realty,
465,Bay Area Tumor Institute,Bay Area Tumor Institute,
466,"Bay City Express, Inc.","Bay City Express, Inc.",
467,Bay Cleaners,Bay Cleaners,
468,Bay Cliff Apartments,Bay Cliff Apartments,
469,Bay Crossings,Bay Crossings,
470,Bay Environmental Services Group,Bay Environmental Services Group,
471,"Bay Farms Produce, Inc.","Bay Farms Produce, Inc.",NULL
472,Bay Lexington Associates,Bay Lexington Associates,
473,Bay Property Group,Bay Property Group,
474,bay resources,bay resources,
475,Bay View Motel,Bay View Motel,
476,Bayer HealthCare,Bayer HealthCare,
477,Bayonne Entertainment,Bayonne Entertainment,
478,Bayrocket Games,Bayrocket Games,
479,BBDO,BBDO,
480,BBI Construction,BBI Construction,NULL
481,"Bbi-Con, Inc.",BBI-Con,
482,"Bbi-Con, Inc.","BBI-CON, Inc.",
483,"Bbi-Con, Inc.","Bbi-Con, Inc.",
484,BCDC,BCDC,
485,Bcg,Bcg,
486,BCI International,BCI International,
487,BCSW,BCSW,
488,Be Amazing Learning,Be Amazing Learning,NULL
489,Beacon Capital Management,Beacon Capital Management,NULL
490,Beacon Properties,Beacon Properties,
491,Bear River,Bear River,
492,Bechtel,Bechtel,
493,Bechtel Foundation,Bechtel Foundation,NULL
494,Becker & Company Consulting,Becker & Company Consulting,
495,Beebe Memorial Cathedral,BeBee Memorial Church,NULL
496,Beebe Memorial Cathedral,Beebe Memorial Cathedral,NULL
497,"Beecher Street Properties, LLC","Beecher Street Properties, LLC",
498,Behring Investments,Behring Investments,NULL
499,"Belair Apartments, LLC","Belair Apartments, LLC",
500,Beles Law Offices,Beles Law Offices,
501,Bell Investment Advisors,Bell Investment Advisor,
502,Bell Investment Advisors,Bell Investment Advisors,
503,Bellevilles Artistic Wildlife,Bellevilles Artistic Wildlife,NULL
504,"Belzer & Murray, LLP","Belzer & Murray, LLP",
505,Ben Kalb Productions,Ben Kalb Productions,NULL
506,Bend the Arc,Bend the Arc,
507,"Bennet, Samuelsen, Reynolds & Allard","Bennet, Samuelsen, Reynolds & Allard",NULL
508,"Bennet, Samuelson, Reynolds & Allard","Bennet, Samuelson, Reynolds & Allard",NULL
509,Bentley School,Bentley School,NULL
510,Berhane Zerai,Berhane Zerai,NULL
511,Berkeley Community Fund,Berkeley Community Fund,NULL
512,Berkeley Firefighters Association Local 1227 PAC,Berkeley Firefighters Association Local 1227 PAC,Union
513,Berkeley Food and Housing Project,Berkeley Food and Housing Project,
514,"Berkeley Patients Group, Inc.",Berkeley Patients Group,
515,"Berkeley Patients Group, Inc.","Berkeley Patients Group, Inc.",
516,Berkeley Property Owners Association,Berkeley Property Owners Association,
517,Berkeley Regional Center,Berkeley Regional Center,NULL
518,"Berkeley Research Group, LLC",Berkeley Research Group,NULL
519,"Berkeley Research Group, LLC","Berkeley Research Group, LLC",
520,Berkeley Unified School District,Berkeley Unified School District,NULL
521,Berkwood Hedge School,Berkwood Hedge School,NULL
522,Berner International Corporation,Berner International Corporation,
523,Berrett-Koehler Fund,Berrett-Koehler Fund,
524,Berrett-Koehler Publishers,Berrett-Koehler Publishers,
525,Berry Applemen and Teicher,Berry Applemen and Teicher,
526,Berryessa Unified School District,Berryessa Unified School District,
527,"Bertrand, Fox & Elliot","Bertrand, Fox & Elliot",
528,Best Bay Apartments,Best Bay Apartment,
529,Best Bay Apartments,Best Bay Apartments,
530,Best Bay Apartments,Best Bay Apartments/Artthaus,
531,Best Way Inv. & Realty,Best Way Inv. & Realty,
532,BESTCO,BESTCO,NULL
533,Beth Isreal Beaconiss,Beth Isreal Beaconiss,NULL
534,Better Homes and Gardens,Better Homes,
535,Better Homes and Gardens,Better Homes and Gardens,
536,Better Homes and Gardens,Better Homes Realty - (Self),
537,"Better Transportation for Alameda County, Yes on BB",Better Transportation for Alameda County,
538,"Better Transportation for Alameda County, Yes on BB","Better Transportation for Alameda County, Yes on BB",
539,Better World Group,Better World Group,NULL
540,Betts Service Stations,Betts Service Stations,
541,Betty Yee for Controller 2014,Betty Yee for Controller 2014,
542,Beverly Nelson Bail Bonds,Beverly Nelson Bail Bonds,
543,Beyond 12,BEYOND 12,
544,Beyond 12,Beyond 12,
545,Beyond Emancipation,Beyond Emancipation,NULL
